Timestamp,AEE,AEP,ALE,BKH,CL,CMS,EXC,IDA,KO,LNT,NI,NWE,OGE,PEG,PNW,POR,PPL,SO,XEL
2022-10-01,0.0,0.0,0.0,0.0,0.04108,0.48227,0.0,0.13094,0.03538,0.0,0.18229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12804
2023-01-01,0.0,0.0,0.0,0.0,0.07486,0.42901,0.0,0.12092,0.0966,0.0,0.15093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12768
2023-04-01,0.0,0.0,0.0,0.0,0.04625,0.42479,0.0,0.15604,0.09281,0.0,0.20108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07904
2023-07-01,0.0,0.0,0.0,0.0,0.10398,0.44484,0.0,0.14119,0.07583,0.0,0.23415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0,0.0,0.08623,0.46228,0.0,0.1401,0.06723,0.0,0.24415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,0.0,0.0,0.0,0.0,0.15706,0.46144,0.0,0.10359,0.05442,0.0,0.22129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022
2024-04-01,0.0,0.0,0.0,0.0,0.2488,0.47189,0.0,0.0,0.04867,0.0,0.23063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,0.0,0.0,0.0,0.0,0.29496,0.4015,0.0,0.0,0.05973,0.0,0.24381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,0.0,0.0,0.0,0.0,0.23642,0.407,0.0,0.0,0.10518,0.0,0.2514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,0.0,0.0,0.0,0.0,0.22152,0.42993,0.0,0.0,0.08182,0.0,0.26674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
